"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","School enrollment, secondary (gross), gender parity index (GPI)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05887997150421","1.03342998027802","1.04673004150391","1.05376994609833","1.04816997051239","0.999769985675812","1.00364005565643","0.988430023193359","1.02982997894287","1.07120001316071","1.04987001419067","1.05181002616882","1.05606997013092","1.01760005950928","","","","","","","","","","",
"Africa Eastern and Southern","AFE","School enrollment, secondary (gross), gender parity index (GPI)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","0.777909994125366","0.777499973773956","0.773239970207214","0.775690019130707","0.780139982700348","0.767830014228821","0.76094001531601","0.756240010261536","0.747399985790253","0.740149974822998","0.741680026054382","0.740989983081818","0.744109988212585","0.749670028686523","0.753809988498688","0.760850012302399","0.770489990711212","0.779399991035461","0.790340006351471","0.8021399974823","0.829320013523102","0.837239980697632","0.848720014095306","0.851050019264221","0.84741997718811","0.872049987316132","0.872780025005341","0.870429992675781","0.866859972476959","0.85809999704361","0.848450005054474","0.839410006999969","0.837670028209686","0.831809997558594","0.818899989128113","0.817049980163574","0.81564998626709","0.807969987392426","0.820330023765564","0.827509999275208","0.838620007038116","0.852720022201538","0.860400021076202","0.877089977264404","0.882290005683899","0.878520011901855","0.889829993247986","0.892059981822968","0.892270028591156","0.888279974460602","0.893459975719452","","",
"Afghanistan","AFG","School enrollment, secondary (gross), gender parity index (GPI)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","0.156760007143021","0.146139994263649","0.132310003042221","0.142179995775223","0.138710007071495","0.141039997339249","0.151659995317459","0.172279998660088","0.179370000958443","","","0.258639991283417","0.445679992437363","","0.459390014410019","0.454340010881424","0.497509986162186","","0.490669995546341","","","0.511690020561218","","0.381179988384247","0.281430006027222","0.375290006399155","","","","","","0","","0.350760012865067","0.209610000252724","0.3264200091362","0.36353999376297","0.375039994716644","0.425500005483627","0.481350004673004","0.497850000858307","0.554260015487671","0.557489991188049","0.552259981632233","0.556400001049042","0.557900011539459","0.571280002593994","0.568419992923737","0.57098001241684","","","","",
"Africa Western and Central","AFW","School enrollment, secondary (gross), gender parity index (GPI)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","0.471130013465881","0.471599996089935","0.479310005903244","0.497370004653931","0.492980003356934","0.490119993686676","0.485570013523102","0.481610000133514","0.504010021686554","0.499190002679825","0.486510008573532","0.508910000324249","0.529950022697449","0.453990012407303","0.412979990243912","0.514720022678375","0.628080010414124","0.666899979114532","0.661719977855682","0.662289977073669","0.656419992446899","0.668579995632172","0.676940023899078","0.686529994010925","0.694859981536865","0.701910018920898","0.716669976711273","0.728470027446747","0.731649994850159","0.748600006103516","0.728399991989136","0.730310022830963","0.688149988651276","0.714860022068024","0.726480007171631","0.744790017604828","0.740819990634918","0.730019986629486","0.761389970779419","0.784049987792969","0.798259973526001","0.796480000019073","0.831740021705627","0.843529999256134","0.836099982261658","0.854480028152466","0.854900002479553","0.875829994678497","0.893999993801117","0.901859998703003","","","",
"Angola","AGO","School enrollment, secondary (gross), gender parity index (GPI)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","","0.802259981632233","0.825160026550293","","","","","","","","","","0.48471000790596","0.494120001792908","","","","","","","","","","","","","","","0.781589984893799","0.756959974765778","0.819239974021912","0.781359970569611","0.830349981784821","","","","","","0.765630006790161","0.759329974651337","0.678709983825684","0.640810012817383","","","","","0.643339991569519","","","","","","",
"Albania","ALB","School enrollment, secondary (gross), gender parity index (GPI)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","","","","","","","0.907710015773773","","0.904850006103516","0.913110017776489","0.891520023345947","0.888339996337891","0.90106999874115","0.932120025157928","0.929149985313416","0.907209992408752","0.904959976673126","0.919340014457703","0.924399971961975","0.925499975681305","0.914520025253296","0.91923999786377","1.01195001602173","1.05314004421234","1.0220400094986","0.99397999048233","0.997720003128052","0.974699974060059","","0.962639987468719","0.96644002199173","0.973630011081696","","","0.964119970798492","0.965430021286011","0.974629998207092","0.992269992828369","0.99889999628067","1.03197002410889","1.00547003746033","0.991559982299805","0.975859999656677","0.95973002910614","0.9444500207901","0.956219971179962","0.970860004425049","0.989030003547668","1.00539004802704","1.01136004924774","1.02103996276855","1.03113996982574","",
"Andorra","AND","School enrollment, secondary (gross), gender parity index (GPI)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","","1.01363003253937","1.22162997722626","0.967559993267059","1.52079999446869","1.13931000232697","2.02992010116577","","","","","","","1.1083300113678","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, secondary (gross), gender parity index (GPI)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","0.537209987640381","0.536300003528595","0.544059991836548","0.552619993686676","0.563160002231598","0.563950002193451","0.580099999904633","0.595459997653961","0.603320002555847","0.614970028400421","0.622870028018951","0.636740028858185","0.650309979915619","0.664370000362396","0.674639999866486","0.68572998046875","0.695330023765564","0.706160008907318","0.718400001525879","0.728690028190613","0.751160025596619","0.766600012779236","0.786989986896515","0.798370003700256","0.803669989109039","0.823050022125244","0.828429996967316","0.839619994163513","0.856769979000092","0.873449981212616","0.882770001888275","0.889410018920898","0.901870012283325","0.912029981613159","0.91430002450943","0.925249993801117","0.932539999485016","0.937059998512268","0.93502002954483","0.931159973144531","0.932780027389526","0.938579976558685","0.940259993076324","0.942879974842072","0.945800006389618","0.951059997081757","0.944620013237","0.944559991359711","0.952910006046295","0.952509999275208","0.958819985389709","","",
"United Arab Emirates","ARE","School enrollment, secondary (gross), gender parity index (GPI)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","","","","0.596660017967224","0.90149998664856","0.919489979743958","0.826910018920898","0.931299984455109","1.04135000705719","0.990790009498596","0.959959983825684","0.902239978313446","0.961510002613068","0.946110010147095","0.924440026283264","0.934249997138977","0.953849971294403","1.08069002628326","1.153480052948","1.18863999843597","1.19290995597839","1.16970002651215","1.15743005275726","1.12715995311737","1.08768999576569","1.05437004566193","","1.10571002960205","1.12578999996185","","","","","","","","","","","","","","","","","","0.958840012550354","0.918699979782104","","0.986909985542297","1.01218998432159","","",
"Argentina","ARG","School enrollment, secondary (gross), gender parity index (GPI)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","1.13759005069733","1.11678004264832","1.08758997917175","1.09125995635986","1.08759999275208","1.0974999666214","1.10339999198914","1.12102997303009","1.13223004341125","1.12777996063232","1.13769996166229","1.14401996135712","1.09957003593445","1.06025004386902","1.08708000183105","1.09944999217987","1.08158004283905","1.05905997753143","1.0644199848175","","","","","","","","1.09694004058838","1.08230996131897","1.04658997058868","1.06050002574921","1.04984998703003","1.05215001106262","1.0521399974823","1.06096994876862","1.07690000534058","1.08984994888306","1.1032999753952","1.11386001110077","1.12304997444153","1.1147700548172","1.09642004966736","1.10347998142242","1.08932995796204","1.07652997970581","1.06827998161316","1.06080996990204","1.04553997516632","1.04244995117188","1.0429300069809","1.04030001163483","1.04426002502441","","",
